	0	1
426	GO:0006729	obselete
427	GO:0006631	obselete
428	GO:0006633	obselete
429	GO:0008610	obselete
430	GO:0019367	obselete
431	GO:0044249	obselete
432	GO:0005789	obselete
433	GO:0050135	obselete
434	GO:0004842	obselete
435	GO:0030014	obselete
436	GO:0016409	obselete
437	GO:0000139	obselete
438	GO:0016042	obselete
439	GO:0006511	obselete
440	GO:0004657	obselete
441	GO:0005524	obselete
442	GO:0005524	obselete
443	GO:0016459	obselete
444	GO:0050660	obselete
445	GO:0005509	obselete
446	GO:0007156	obselete
447	GO:0005524	obselete
448	GO:0005524	obselete
449	GO:0008270	obselete
450	GO:0016274	obselete
451	GO:0000124	obselete
452	GO:0005789	obselete
453	GO:0005524	obselete
454	GO:0003777	obselete
455	GO:0005524	obselete
456	GO:0008017	obselete
457	GO:0042761	obselete
458	GO:0043401	obselete
459	GO:0019001	obselete
460	GO:0042383	obselete
461	GO:0030276	obselete
462	GO:0005244	obselete
463	GO:0006813	obselete
464	GO:0008076	obselete
465	GO:0003779	obselete
466	GO:0001755	obselete
467	GO:0030027	obselete
468	GO:0097503	obselete
469	GO:0006783	obselete
470	GO:0000829	obselete
471	GO:0016358	obselete
472	GO:0030286	obselete
473	GO:0004809	obselete
474	GO:0006777	obselete
475	GO:0042572	obselete
476	GO:0004713	obselete
477	GO:0004715	obselete
478	GO:0061630	obselete
479	GO:0004084	obselete
480	GO:0004222	obselete
481	GO:0003839	obselete
482	GO:0000184	obselete
483	GO:0005096	obselete
484	GO:0006665	obselete
485	GO:0017148	obselete
486	GO:0005388	obselete
487	GO:0006816	obselete
488	GO:0005743	obselete
489	GO:0008236	obselete
490	GO:0004843	obselete
491	GO:0005524	obselete
492	GO:0030553	obselete
493	GO:0004674	obselete
494	GO:0005524	obselete
495	GO:0009452	obselete
496	GO:0006631	obselete
497	GO:0006633	obselete
498	GO:0019367	obselete
499	GO:0042761	obselete
500	GO:0008270	obselete
501	GO:0004842	obselete
502	GO:0031901	obselete
503	GO:0030659	obselete
504	GO:0061630	obselete
505	GO:0016567	obselete
506	GO:0003779	obselete
507	GO:0005524	obselete
508	GO:0016459	obselete
509	GO:0043484	obselete
510	GO:0005096	obselete
511	GO:0005524	obselete
512	GO:0005524	obselete
513	GO:0008270	obselete
514	GO:0005524	obselete
515	GO:0005789	obselete
516	GO:0005524	obselete
517	GO:0005524	obselete
518	GO:0005524	obselete
519	GO:0007266	obselete
520	GO:0004322	obselete
521	GO:0055072	obselete
522	GO:0005868	obselete
523	GO:0006888	obselete
524	GO:0004144	obselete
525	GO:0004713	obselete
526	GO:0009082	obselete
527	GO:0019903	obselete
528	GO:0004348	obselete
529	GO:0006047	obselete
530	GO:0032580	obselete
531	GO:0004692	obselete
532	GO:0004757	obselete
533	GO:0006633	obselete
534	GO:0034625	obselete
535	GO:0000976	obselete
536	GO:0031901	obselete
537	GO:0016042	obselete
538	GO:0016567	obselete
539	GO:0050660	obselete
540	GO:0005096	obselete
541	GO:0005524	obselete
542	GO:0008270	obselete
543	GO:0005524	obselete
544	GO:0005789	obselete
545	GO:0005524	obselete
546	GO:0005524	obselete
547	GO:0005524	obselete
548	GO:0006879	obselete
549	GO:0000159	obselete
550	GO:0120013	obselete
551	GO:0019905	obselete
552	GO:0006816	obselete
553	GO:0006958	obselete
554	GO:0009922	obselete
555	GO:0042761	obselete
556	GO:0006511	obselete
557	GO:0005509	obselete
558	GO:0009263	obselete
559	GO:0035243	obselete
560	GO:0030001	obselete
561	GO:0005524	obselete
562	GO:0006636	obselete
563	GO:0016567	obselete
564	GO:0004748	obselete
565	GO:0046835	obselete
566	GO:0045892	obselete
567	GO:0004674	obselete
568	GO:1903830	obselete
569	GO:0008469	obselete
570	GO:0006665	obselete
571	GO:0006560	obselete
572	GO:0005267	obselete
573	GO:0006636	obselete
574	GO:0052723	obselete
575	GO:0004571	obselete
576	GO:0000124	obselete
577	GO:0004714	obselete
